id,label
0,14
1,11
2,10
3,14
4,16
5,12
6,3
7,3
8,5
9,11
10,8
11,7
12,14
13,1
14,19
15,13
16,0
17,7
18,2
19,2
20,3
21,17
22,9
23,11
24,3
25,10
26,15
27,19
28,11
29,10
30,1
31,13
32,2
33,11
34,5
35,10
36,15
37,10
38,11
39,1
40,6
41,4
42,8
43,18
44,18
45,7
46,3
47,10
48,16
49,16
50,13
51,8
52,4
53,3
54,2
55,0
56,0
57,5
58,8
59,4
60,6
61,15
62,2
63,14
64,16
65,18
66,18
67,11
68,13
69,7
70,10
71,4
72,5
73,15
74,2
75,2
76,11
77,19
78,15
79,6
80,9
81,10
82,8
83,4
84,0
85,10
86,10
87,4
88,15
89,0
90,10
91,15
92,9
93,14
94,12
95,4
96,8
97,1
98,12
99,9
100,10
101,10
102,9
103,0
104,2
105,15
106,16
107,12
108,18
109,2
110,12
111,1
112,4
113,11
114,18
115,0
116,16
117,7
118,15
119,8
120,13
121,17
122,13
123,13
124,11
125,11
126,17
127,11
128,5
129,18
130,10
131,16
132,9
133,0
134,2
135,19
136,15
137,10
138,8
139,2
140,9
141,5
142,3
143,7
144,9
145,13
146,3
147,16
148,16
149,10
150,13
151,3
152,18
153,7
154,5
155,7
156,18
157,1
158,10
159,2
160,13
161,2
162,8
163,0
164,0
165,12
166,6
167,2
168,13
169,5
170,2
171,7
172,18
173,14
174,18
175,7
176,16
177,5
178,15
179,3
180,7
181,8
182,9
183,7
184,9
185,9
186,15
187,8
188,19
189,19
190,19
191,5
192,16
193,10
194,13
195,9
196,9
197,6
198,11
199,8
200,6
201,10
202,15
203,7
204,7
205,8
206,19
207,19
208,16
209,7
210,17
211,1
212,9
213,9
214,12
215,13
216,0
217,18
218,15
219,13
220,19
221,1
222,15
223,12
224,7
225,8
226,11
227,15
228,1
229,9
230,2
231,12
232,16
233,19
234,8
235,2
236,8
237,2
238,9
239,11
240,17
241,15
242,15
243,7
244,5
245,16
246,17
247,15
248,18
249,10
250,7
251,11
252,17
253,7
254,7
255,7
256,8
257,10
258,16
259,1
260,14
261,18
262,15
263,12
264,1
265,12
266,8
267,4
268,6
269,0
270,11
271,4
272,9
273,1
274,1
275,10
276,3
277,14
278,2
279,12
280,10
281,15
282,17
283,8
284,3
285,8
286,1
287,15
288,7
289,1
290,4
291,11
292,7
293,11
294,18
295,5
296,18
297,1
298,15
299,2
300,13
301,17
302,11
303,0
304,7
305,8
306,1
307,3
308,11
309,0
310,11
311,7
312,6
313,5
314,11
315,9
316,10
317,17
318,11
319,8
320,4
321,14
322,10
323,13
324,14
325,16
326,6
327,5
328,13
329,19
330,3
331,12
332,15
333,17
334,5
335,10
336,12
337,14
338,15
339,19
340,11
341,19
342,11
343,4
344,6
345,9
346,14
347,8
348,11
349,8
350,15
351,4
352,4
353,10
354,19
355,19
356,4
357,1
358,5
359,10
360,2
361,0
362,7
363,15
364,13
365,19
366,19
367,0
368,8
369,5
370,8
371,10
372,6
373,4
374,13
375,14
376,0
377,9
378,17
379,14
380,8
381,7
382,6
383,18
384,12
385,10
386,1
387,14
388,5
389,14
390,0
391,2
392,6
393,9
394,6
395,19
396,6
397,7
398,11
399,18
400,4
401,18
402,11
403,13
404,9
405,4
406,7
407,12
408,18
409,2
410,13
411,3
412,16
413,0
414,12
415,17
416,1
417,2
418,6
419,6
420,19
421,17
422,2
423,9
424,3
425,15
426,0
427,0
428,13
429,8
430,9
431,4
432,7
433,5
434,19
435,8
436,6
437,13
438,4
439,1
440,14
441,10
442,2
443,14
444,18
445,0
446,10
447,6
448,16
449,19
450,9
451,8
452,11
453,14
454,19
455,7
456,3
457,4
458,7
459,17
460,7
461,6
462,19
463,5
464,11
465,17
466,1
467,4
468,5
469,9
470,10
471,16
472,19
473,0
474,16
475,0
476,11
477,0
478,18
479,2
480,6
481,9
482,1
483,7
484,0
485,3
486,1
487,18
488,13
489,17
490,19
491,10
492,8
493,13
494,15
495,6
496,11
497,8
498,11
499,14
500,3
501,5
502,11
503,5
504,16
505,1
506,8
507,12
508,19
509,18
510,6
511,7
512,3
513,9
514,3
515,6
516,3
517,3
518,3
519,2
520,19
521,1
522,4
523,8
524,6
525,19
526,8
527,1
528,19
529,2
530,10
531,19
532,6
533,8
534,11
535,11
536,14
537,8
538,17
539,14
540,9
541,5
542,19
543,7
544,13
545,14
546,16
547,8
548,8
549,6
550,17
551,2
552,2
553,1
554,4
555,17
556,12
557,11
558,16
559,13
560,19
561,2
562,11
563,13
564,5
565,13
566,2
567,17
568,6
569,17
570,0
571,9
572,0
573,18
574,14
575,10
576,15
577,2
578,3
579,9
580,2
581,17
582,10
583,10
584,18
585,0
586,12
587,7
588,15
589,1
590,15
591,12
592,8
593,16
594,2
595,2
596,10
597,19
598,5
599,12
600,14
601,13
602,12
603,18
604,13
605,15
606,9
607,0
608,0
609,5
610,14
611,10
612,13
613,15
614,2
615,17
616,6
617,5
618,5
619,0
620,10
621,18
622,18
623,0
624,6
625,15
626,3
627,17
628,10
629,15
630,14
631,0
632,13
633,13
634,8
635,0
636,9
637,14
638,17
639,13
640,3
641,14
642,14
643,7
644,3
645,7
646,17
647,8
648,13
649,17
650,4
651,0
652,0
653,13
654,9
655,3
656,4
657,1
658,10
659,8
660,3
661,12
662,9
663,17
664,10
665,3
666,18
667,0
668,12
669,5
670,11
671,1
672,7
673,11
674,15
675,10
676,5
677,9
678,7
679,4
680,14
681,8
682,15
683,16
684,15
685,6
686,3
687,9
688,8
689,4
690,1
691,8
692,18
693,16
694,16
695,3
696,6
697,11
698,19
699,3
700,15
701,5
702,19
703,9
704,15
705,16
706,12
707,2
708,18
709,19
710,3
711,10
712,11
713,15
714,17
715,4
716,5
717,12
718,7
719,1
720,16
721,8
722,18
723,4
724,14
725,14
726,17
727,19
728,2
729,15
730,1
731,4
732,17
733,4
734,8
735,17
736,6
737,7
738,14
739,17
740,16
741,5
742,1
743,3
744,5
745,0
746,3
747,6
748,17
749,14
750,14
751,11
752,17
753,3
754,12
755,19
756,7
757,18
758,17
759,10
760,16
761,8
762,14
763,9
764,19
765,6
766,9
767,17
768,11
769,14
770,8
771,4
772,14
773,6
774,11
775,10
776,2
777,13
778,11
779,2
780,5
781,1
782,11
783,11
784,15
785,1
786,10
787,0
788,9
789,8
790,16
791,10
792,1
793,15
794,2
795,7
796,19
797,14
798,10
799,8
800,10
801,18
802,3
803,11
804,4
805,15
806,14
807,16
808,16
809,16
810,16
811,17
812,14
813,1
814,19
815,2
816,0
817,19
818,3
819,2
820,19
821,9
822,4
823,19
824,13
825,1
826,6
827,7
828,16
829,6
830,17
831,3
832,7
833,0
834,3
835,11
836,0
837,3
838,4
839,18
840,5
841,2
842,6
843,7
844,7
845,14
846,16
847,14
848,6
849,0
850,18
851,19
852,9
853,8
854,14
855,11
856,9
857,7
858,9
859,11
860,3
861,18
862,2
863,12
864,15
865,4
866,12
867,11
868,1
869,13
870,3
871,3
872,1
873,17
874,0
875,4
876,10
877,7
878,9
879,15
880,19
881,3
882,12
883,9
884,4
885,18
886,10
887,8
888,3
889,16
890,19
891,1
892,13
893,10
894,19
895,10
896,3
897,5
898,3
899,17
900,0
901,3
902,4
903,13
904,19
905,11
906,0
907,14
908,0
909,16
910,11
911,17
912,4
913,11
914,3
915,12
916,11
917,11
918,8
919,2
920,6
921,17
922,6
923,3
924,1
925,9
926,1
927,18
928,16
929,3
930,17
931,12
932,9
933,15
934,1
935,5
